name,num_films
Paul Hogan,1
Greg Coote,1
David Cronenberg,21
Thomas A. Reilly,3
Richard Patrick,5
Stuart Baird,3
Nagisa Ōshima,16
Tom Noonan,1
Anthony Minghella,6
Mike Leigh,18
Michael Tolkin,2
James McTeigue,11
Sally Potter,6
Jonathan Demme,28
Ronald M. Bozman,2
Jane Campion,8
Stuart Orme,2
Mel Smith,5
Christopher Newman,4
Bernard Bellew,1
Harry Rabinowitz,1
Penny Marshall,7
Philip Kaufman,10
Alan Parker,14
Fred Dekker,3
Gregg Goldstone,1
Peter Medak,12
Geoffrey Wright,4
Victor Nunez,3
Jennifer Fong,1
Tim Hunter,5
Cyril Collard,2
Steven Zaillian,3
Chris Menges,4
John King,6
John Waters,12
Russell Mulcahy,19
Richard Attenborough,11
Gillies MacKinnon,9
Stephen Dane,1
Steve Rash,14
Rowdy Herrington,7
Arthur Joffé,1
Annabel Jankel,3
Rocky Morton,2
Deran Sarafian,4
François Girard,4
Andrew Fleming,8
Henry Selick,4
Richard Holland,2
George P. Cosmatos,9
Heywood Gould,4
D.A. Pennebaker,16
Chris Hegedus,12
Pixote Hunt,2
Maurice Hunt,1
Jerry Ciccoritti,6
Jennifer Warren,1
Mark Malone,2
Todd Solondz,7
Claude Berri,10
Dennis Hopper,7
Guillermo del Toro,9
Daniel Algrant,3
Pedro Almodóvar,20
Gurinder Chadha,9
Andrew Scheinman,1
Åke Sandgren,2
Eva Sereny,1
Lina Wertmüller,10
Rémy Duchemin,2
George T. Miller,11
Ricky Tognazzi,3
Michael Austin,1
Rob Epstein,9
Jeffrey Friedman,7
Nanni Moretti,10
María Luisa Bemberg,3
Betty Thomas,8
Mark Radcliffe,1
Ron Clements,7
John Musker,7
Kevin Costner,3
Steve Cohen,3
Gary Kosko,1
David Hand,15
John Hubley,2
Ford Beebe,15
Carl Fallberg,1
Mike Holoboff,1
Gary Trousdale,6
Kirk Wise,3
Hamilton Luske,14
Ben Sharpsteen,7
Fred Moore,2
Frank Thomas,5
Milt Kahl,4
Bill Tytla,1
Ward Kimball,6
Art Babbitt,1
Eric Larson,3
Wolfgang Reitherman,14
Yuri Mamin,2
Sam Peckinpah,14
Clifford C. Coleman,1
C.M. Talkington,1
Huang Jianxin,4
Jean Bach,1
Sam Weisman,6
Bill Condon,10
Stephen Poliakoff,8
David R. Ellis,7
Gerald Potterton,2
Kevin Yagher,1
Joe Chappelle,6
Matt Reeves,5
Franco Zeffirelli,13
Anna Campion,1
Franco Brusati,3
Fernando Trueba,8
Bill Couturié,2
Werner Herzog,55
André Téchiné,20
Mika Kaurismäki,19
Férid Boughedir,2
Martin Lawrence,2
Stacy Title,3
Gregory Hoblit,7
Clément Virgo,3
Bruno Barreto,10
Paul Sabella,4
Larry Leker,1
John Williamson,1
Hal Salwen,1
Jonathan R. Betuel,2
Richard Pearce,7
Todd Verow,4
Jonathan Lynn,10
Tim Sullivan,3
Jeremiah S. Chechik,6
Hervé Palud,1
Martin Enlen,1
Carlo Rola,2
Claude Sautet,7
Fred Hole,2
Nick Moore,2
David Lee,1
George Hull,3
Friðrik Þór Friðriksson,8
Pen Densham,2
Sönke Wortmann,6
Park Chul-soo,2
Rob Cohen,11
Maria-Teresa Barbasso,1
Joseph Vilsmaier,7
Michael Verhoeven,5
Gray Hofmeyr,1
Richard Wherrett,1
René Clément,13
Alberto Cardone,5
Pierre Zimmer,1
Bruno Avesani,1
Jacques Métehen,2
Anthony Hopkins,2
Paul Mazursky,15
Emir Kusturica,13
Bo Widerberg,5
Alan Mehrez,2
Satyajit Ray,24
Ashish Barman,1
Santi Chatterjee,1
Subir Hajra,2
Nityananda Datta,2
Shailen Dutta,3
Tapeshwar Prasad,2
Amiya Sanyal,1
Jim Mallon,2
Joe Pytka,2
Austin McCann,1
Neal Wiser,1
Roger Vadim,12
Catherine Cyran,6
Brett Piper,3
George Hickenlooper,6
Jean-Luc Godard,50
Bertrand Tavernier,17
Gordon Willis,1
Randal Kleiser,13
Michael Blakemore,2
Margarethe von Trotta,8
Norberto Barba,1
Eli Cohen,1
Robert Mandel,8
Pat Verducci,1
Michael Winterbottom,25
Steven Baigelman,1
Zalman King,5
Barry Caillier,1
Patrick Read Johnson,4
Stijn Coninx,6
John Cassavetes,12
Stacy Cochran,2
Jean-Claude Van Damme,2
Mark Joffe,4
Steve Gomer,2
George Scribner,2
Tom DeCerchio,2
Alan Shapiro,2
Angela Pope,2
Betty Kaplan,1
Jim Jarmusch,15
Jean-Paul Rappeneau,6
Jack Hill ,9
Manuel Gómez Pereira,4
Jean-Marie Poiré,6
Brett Thompson,2
Francesco Sframeli,1
Spiro Scimone,1
Stephen Quay,7
Timothy Quay,7
Phil Joanou,10
Larry Cohen,14
Harvey Miller,2
Michele Soavi,9
Julie Gavras,3
Francesca Marra,1
Enrico Grassi,1
Dan Olexiewicz,2
Matthew Carlisle,1
Guy Hendrix Dyas,2
Chuck Parker,1
David Hogan,3
Maurice Pialat,9
Gabriel Barylli,1
Mamoru Oshii,13
Kazuhiro Wakabayashi,3
Toshihiko Nishikubo,1
Seichi Tanaka,1
Tom Holland,6
Rick Friedberg,1
Udayan Prasad,5
Nick Park,7
Abraham Polonsky,2
David Twohy,7
Robert Z. Leonard,29
Stanley Kubrick,16
Eric Rattray,1
Guy Maddin,14
John O'Brien,1
Kevin James Dobson,1
Victor Saville,11
Helena Solberg,1
Ebrahim Forouzesh,1
Freida Lee Mock,3
David Keating,3
James Mangold,10
Francis Ford Coppola,24
Mary Harron,5
Charles Matthau,3
Goran Paskaljević,5
Mwezé Ngangura,1
Benoît Lamy,1
Jean-Pierre Bekolo,1
Djibril Diop Mambéty,2
Gaston Kaboré,3
Federico Fellini,25
Vana Caruso,2
Michel Clément,1
Jean-Michel Lacor,1
Eschilo Tarquini,1
Serge Vallin,5
Francesco Aluigi,2
Liliane Betti,1
Jean Forestier,1
Victoria Foyt,1
Robby Henson,4
David Gilchrist,1
Niki Longmuir,1
Scott Winant,1
Lauren E. Polizzi,2
Dawn Snyder,2
Scott Leberecht,2
Frank Capra III,6
Carma Hinton,1
Richard Gordon,1
Lucian Pintilie,7
Gazdag Gyula,1
Gérard Mordillat,1
Mel Chionglo,1
Christopher Larkin,1
Laurent Heynemann  ,1
Pier Luigi Basile,4
Herb Gains,1
Claudia Mullaly,1
Bronwen Hughes,4
Nicole Holofcener,5
Richard Greenberg,3
Julian Petrillo,2
Bryan C. Alford,1
Adam Escott,1
Éric Rohmer,28
Anthony Brand,1
Fraser Clarke Heston,4
Kevin Hooks,9
Ildikó Enyedi,4
Howard Franklin,3
Mitch Marcus,1
Jaime Hellman,1
Nicolas Roeg,15
Arlene Sanford,4
Maurizio Nichetti,3
Ignacio Villareal,15
Paul Turner,1
Patrice de Bailliencourt,1
László Benkö,1
Peter Sehr,2
Gernot Roll,2
Rolf Silber,1
Peter Weck,1
Manoel de Oliveira,15
John Payson,1
Hugh Wilson,8
Paul D. Kelly,3
Michael E. Steele,1
Julie A. Bloom,2
Nigel Finch,1
Hart Bochner,3
Doug Ellin,3
Annette Haywood-Carter,3
Danny DeVito,6
Douglas McGrath,7
Tim Pope,1
Harry Winer,6
Georges Franju,6
Gilbert Adler,1
John Rubino,1
Yin Li,1
Yim Ho,3
Marcus DeLeon,1
Lee David Zlotoff,1
Bill Hiney,2
Tran Anh Hung,5
Julian Schnabel,4
Rolf de Heer,10
Keisuke Kinoshita,15
Yoshikazu Ôtsuki,3
Nicole Garcia,4
Leone Pompucci,1
Zheng Jun-Li,1
Fred T. Gallo,4
Stephen F. Kesten,1
Tony Brandt,3
Lisa Krueger,2
Mikio Naruse,18
Masayoshi Kawanishi,4
Lana Wachowski,7
Lilly Wachowski,7
Arthur Hiller,27
John Ruane,1
Peter Shaner,1
Tsai Ming-liang,13
Daniel Schmid,2
Tim Metcalfe,1
Izidore K. Musallam,1
Jim McKay,3
Karim Dridi,3
Gary Baugh,1
Jack Frost Sanders,1
John Frankenheimer,33
Richard Stanley,7
David M. Evans,8
David Koepp,6
Gary Winick,7
Nick Hamm,6
Roy Allen Smith,4
Theo van Gogh,4
Trevor Nunn,3
Keith Gordon,5
Max Ophüls,10
Jan Jakub Kolski,5
Sam Wood,25
George Cukor,40
Stanley Donen,22
Gene Kelly,11
Vincente Minnelli,33
Blake Edwards,31
Alfred Hitchcock,53
Daniel McCauley,3
Frank Capra,37
Louis Silvers,1
William Ferrari,1
Jack Greenwood,4
Mark Sandrich,11
Mickey McCardle,1
Billy Wilder,27
Hal W. Polaire,4
David Salven,1
Sam Nelson,8
Marc Maurette,2
Auguste Capelier,1
Michael Curtiz,65
Leo F. Forbstein,19
Lee Katz,4
John Huston,39
John Prettyman,6
Jack Sullivan,9
Charles C. Coleman,13
William Wyler,29
Herbert Coleman,2
Bernard Vorhaus,6
Walter Lang,24
Victor Fleming,16
Eric Stacey,4
Ralph Slosser,5
Gerd Oswald,11
Orson Welles,20
Edward Donahue,3
Fred Fleck,5
Mitchell Leisen,19
Joseph L. Mankiewicz,22
Gaston Glass,2
Hal Klein,1
Edward Woehler,4
Edmond F. Bernoudy,1
William Dorfman,9
C. Bakaleinikoff,5
Leo McCarey,19
Gilbert Mandelik,2
Ernst Lubitsch,27
William Keighley,26
Rouben Mamoulian,14
Otto Preminger,30
Tom Dudley,2
Emil Newman,2
Gregory La Cava,6
George Stevens,21
Elia Kazan,19
Horace Hough,10
Don Alvarado,3
W.S. Van Dyke,37
David Townsend,1
Edwin B. Willis,3
Lesley Selander,16
Howard Hawks,36
Morris Stoloff,16
Cliff P. Broughton,1
Michael Anderson,21
John Farrow,21
Ivan Volkman,6
Arthur S. Black Jr.,5
Rex Bailey,3
Richard McWhorter,3
Cary Odell,2
