name,num_films
Mireille Mossé,3
Serge Merlin,5
Rufus,13
Ticky Holgado,18
Cris Huerta,8
Jean-Louis Trintignant,42
Joseph Lucien,1
Mapi Galán,5
Briac Barthélémy,1
Pierre-Quentin Faesch,1
Alexis Pivot,2
François Hadji-Lazaro,4
Dominique Bettenfeld,13
Lotfi Yahya Jedidi,2
Thierry Gibault,5
Marc Caro,2
Ham-Chau Luong,4
Frankie Pain,5
Enrique Villanueva,1
Dominique Chevalier,3
Lorella Cravotta,4
Éric Houzelot,1
Philippe Beautier,4
Marc Amyot,3
Jean-Philippe Labadie,1
Raphaèle Bouchard,1
Elisabeth Etienne,2
Rachel Boulenger,1
Michel Motu,1
Nane Germon,6
Gong Li,20
Li Bao-Tian,4
Wang Xiaoxiao,1
Li Xuejian,8
Chun Sung,1
Fu Biao,4
Michelle Pfeiffer,44
George Dzundza,25
Courtney B. Vance,25
Robin Bartlett,18
John Neville,22
Beatrice Winde,7
Lorraine Toussaint,11
Renoly Santiago,5
Wade Dominguez,2
Bruklin Harris,4
Mercello Thedford,1
Roberto Alvarez,4
Richard Grant,2
Marisela Gonzales,1
Toni Nichelle Buzhardt,1
Madeleine Stowe,23
Brad Pitt,60
Christopher Plummer,82
David Morse,41
Jon Seda,15
Frank Gorshin,20
Joseph Melito,1
Aaron Michael Lacey,3
Christopher Meloni,27
Joey Perillo,4
LisaGay Hamilton,8
Matt Ross,15
Annie Golden,10
Michael Chance,1
Vernon Campbell,3
H. Michael Walls,1
Bob Adrian,2
Simon Jones,7
Carol Florence,3
Bill Raymond,10
Ernest Abuba,2
Irma St. Paule,1
Rozwill Young,1
Nell Johnson,1
Frederick Strother,2
Charles Techman,5
Rick Warner,4
Anthony 'Chip' Brienza,2
Bruce Kirkpatrick,3
Wilfred Williams,1
Joilet Harris,1
Drucie McDaniel,3
John Blaisse,1
Louis Lippa,1
Stan Kang,1
Pat Dias,1
Felix Pire,2
Karl Warren,1
Joseph McKenna,5
Stephen Bridgewater,5
Ray Huffman,1
Charley Scalies,1
Robert O'Neill,5
Paul Meshejian,1
Kevin Thigpen,4
Harry O'Toole,3
Jann Ellis,1
Michael Ryan Segal,2
Korchenko,1
Chuck Jeffreys,3
Barry Price,1
John Panzarella,2
Janet Zappala,1
Lisa Talerico,2
Tiffany Baldwin,2
C.J. Byrnes,2
Tom Detrik,2
Joe Gerety,2
Renee Spei,1
Bonnie Loev,1
Raymond Mamrak,4
Sal Mazzotta,2
Allelon Ruggiero,3
Thang,1
Craig Sheffer,29
Elizabeth McGovern,27
Tom Hulce,15
Ken Pogue,11
Ron Sauvé,2
Freddy Andreiuci,2
Christine Cavanaugh,3
Hugo Weaving,40
Miriam Flynn,17
James Cromwell,56
Russi Taylor,19
Evelyn Krape,1
Michael Edward-Stevens,2
Charles Bartlett,4
Paul Livingston,3
Roscoe Lee Browne,24
Magda Szubanski,7
Zoe Burton,1
Paul Goddard,4
Wade Hayward,1
Brittany Byrnes,2
Mary Acres,2
Jonathan Pryce,55
Steven Waddington,21
Rufus Sewell,34
Penelope Wilton,17
Janet McTeer,25
Jeremy Northam,28
Alex Kingston,11
Richard Clifford,3
David Ryall,23
Stephen Boxer,6
Susan Sarandon,93
Sean Penn,57
Robert Prosky,29
Celia Weston,31
Lois Smith,34
Scott Wilson,39
Roberta Maxwell,14
Jack Black,55
Ray Aranha,3
Peter Sarsgaard,40
Barton Heyman,11
Steve Boles,3
Nesbitt Blaisdell,4
Larry Pine,18
Kevin Cooney,15
Clancy Brown,52
Michael Cullen,3
Missy Yager,7
Jenny Krochmal,1
Jon Abrahams,17
Arthur Bridgers,2
Steve Carlisle,2
Eva Amurri Martino,12
Jack Henry Robbins,1
Dennis Neal,5
Molly Bryant,4
Adele Robbins,3
Pete Burris,2
Joan Glover,2
Lenore Banks,9
Cortez Nance Jr.,3
Adam Nelson,5
Jeremy Knaster,1
Marcus Lyle Brown,20
Anthony Michael Frederick,4
Thomas McGowan,2
Codie Scott,2
Helen Prejean,1
Peter Reznick,1
John McDonough,1
Avi Hoffman,1
Matt Malloy,25
Abby Lewis,1
Kirstie Alley,27
Steve Guttenberg,38
Ashley Olsen,17
Mary-Kate Olsen,19
Jane Sibbett,5
Philip Bosco,32
Michelle Grisom,1
Desmond Robertson,2
Tiny Mills,1
Shanelle Henry,1
Michèle Lonsdale Smith,1
Sean Orr,1
Elizabeth Walsh,1
Alicia Silverstone,24
Stacey Dash,14
Brittany Murphy,35
Paul Rudd,53
Donald Faison,24
Elisa Donovan,8
Breckin Meyer,25
Jeremy Sisto,36
Twink Caplan,5
Justin Walker,1
Julie Brown,13
Nicole Bilderback,4
James Earl Jones,80
Charles S. Dutton,40
Jack Robinson,1
Tsholofelo Wechoemang,1
Ramalao Makhene,1
Richard Harris,46
Dolly Rathebe,2
Jennifer Steyn,6
Ian Roberts,28
David Clatworthy,4
